GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received
2.81,Mid-tier,Healthcare,West,3,2,6,Medium,LinkedIn,1,9,2,2,1
2.61,Lower-tier,STEM,Northeast,1,1,6,Medium,Handshake,1,5,1,0,0
3.53,Lower-tier,STEM,Midwest,3,2,2,Medium,Handshake,5,34,3,1,0
2.73,Mid-tier,Business,Midwest,0,2,1,Medium,Handshake,2,10,0,0,0
4.0,Mid-tier,Business,South,1,0,1,Medium,Indeed,5,65,0,0,0
4.0,Mid-tier,Business,Midwest,0,4,1,Large,Handshake,2,6,0,0,0
3.28,Top-tier,STEM,West,2,0,7,Large,Handshake,10,20,0,0,0
2.62,Lower-tier,Business,West,2,3,7,Large,LinkedIn,10,76,3,0,0
3.01,Mid-tier,STEM,Northeast,0,3,2,Medium,Handshake,7,19,2,1,1
3.22,Lower-tier,STEM,West,2,1,1,Medium,Indeed,6,67,2,1,1
3.59,Top-tier,STEM,Midwest,2,1,3,Small,LinkedIn,5,31,2,2,1
2.68,Lower-tier,Business,West,2,0,3,Large,LinkedIn,9,108,1,0,0
2.82,Lower-tier,Healthcare,West,1,3,2,Medium,Indeed,5,79,0,0,0
2.58,Mid-tier,Humanities,Midwest,3,2,1,Medium,LinkedIn,6,28,2,1,1
2.71,Mid-tier,Business,Midwest,1,3,2,Small,Handshake,4,14,2,2,1
3.18,Mid-tier,Healthcare,Midwest,1,2,2,Large,Indeed,12,128,1,1,0
2.95,Mid-tier,Business,South,1,2,4,Medium,LinkedIn,5,54,2,0,0
3.31,Mid-tier,Business,Midwest,2,1,2,Medium,LinkedIn,10,78,2,1,1
2.95,Mid-tier,Business,Midwest,1,3,4,Medium,Indeed,1,16,0,0,0
3.73,Mid-tier,STEM,South,1,1,3,Small,Handshake,2,6,2,2,1
3.58,Mid-tier,STEM,West,1,0,0,Large,Indeed,5,86,1,0,0
2.48,Top-tier,Humanities,West,1,3,2,Medium,LinkedIn,7,74,7,1,0
3.2,Mid-tier,STEM,West,0,0,6,Large,LinkedIn,5,31,0,0,0
3.63,Mid-tier,STEM,Northeast,4,1,0,Large,Handshake,10,93,4,3,1
3.61,Mid-tier,STEM,Northeast,3,1,3,Small,Handshake,1,5,0,0,0
3.06,Lower-tier,STEM,South,1,2,2,Medium,Handshake,1,7,2,1,0
3.27,Mid-tier,Healthcare,South,0,3,5,Small,Handshake,5,28,2,1,1
3.09,Mid-tier,Humanities,Midwest,0,2,1,Large,LinkedIn,9,115,4,1,0
3.14,Mid-tier,STEM,West,1,3,1,Medium,LinkedIn,9,72,2,0,0
