GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received,Offer_Salary
3.09,Lower-tier,STEM,Northeast,1,2,5,Small,Handshake,7,21,3,1,,
4.0,Lower-tier,Humanities,South,1,3,7,Large,LinkedIn,10,111,3,1,,
3.53,Mid-tier,STEM,Midwest,2,0,2,Small,LinkedIn,3,42,3,2,,
3.3,Lower-tier,Healthcare,South,1,2,2,Medium,Handshake,1,5,1,1,,
3.27,Mid-tier,Humanities,Midwest,0,0,5,Medium,LinkedIn,1,6,1,0,,
3.21,Mid-tier,Business,West,1,3,3,Medium,Indeed,6,68,2,1,,
3.11,Top-tier,STEM,Northeast,0,1,1,Large,Handshake,3,15,3,1,,
4.0,Top-tier,Healthcare,Northeast,4,3,5,Medium,LinkedIn,5,22,2,2,,
2.52,Mid-tier,Humanities,Midwest,0,2,0,Medium,Handshake,9,24,2,1,,
2.81,Mid-tier,Humanities,West,1,0,5,Large,LinkedIn,4,35,0,0,,
3.11,Lower-tier,STEM,Midwest,0,6,2,Medium,Indeed,1,10,0,0,,
3.13,Lower-tier,Business,Northeast,2,3,2,Large,Handshake,11,5,1,0,,
3.14,Mid-tier,Business,Midwest,0,2,1,Large,Handshake,11,38,2,1,,
3.26,Mid-tier,Humanities,South,1,1,2,Large,Indeed,6,37,1,1,,
3.39,Lower-tier,STEM,Northeast,1,1,2,Small,Handshake,12,72,8,2,,
3.26,Mid-tier,Business,Northeast,0,1,2,Medium,LinkedIn,4,33,0,0,,
3.34,Mid-tier,Business,Midwest,0,0,4,Medium,LinkedIn,3,23,2,0,,
3.89,Mid-tier,Business,Midwest,2,0,4,Medium,Handshake,6,38,2,0,,
3.5,Mid-tier,Business,West,2,4,2,Small,LinkedIn,9,54,1,0,,
3.08,Lower-tier,Humanities,Midwest,0,2,4,Medium,Indeed,8,70,0,0,,
3.07,Mid-tier,Humanities,Northeast,0,2,2,Small,Handshake,1,7,2,2,,
3.14,Mid-tier,STEM,South,1,0,4,Large,Indeed,3,47,0,0,,
2.89,Mid-tier,STEM,Northeast,2,1,3,Large,Indeed,5,27,2,2,,
3.16,Mid-tier,Business,West,0,3,6,Medium,LinkedIn,4,20,0,0,,
3.67,Lower-tier,Healthcare,Midwest,1,2,2,Large,LinkedIn,5,42,2,0,,
2.54,Mid-tier,STEM,Northeast,2,2,3,Small,Indeed,5,56,3,2,,
3.72,Mid-tier,STEM,Northeast,2,1,4,Medium,Indeed,9,78,1,0,,
3.42,Lower-tier,Healthcare,West,0,2,1,Medium,Handshake,12,38,1,0,,
2.96,Lower-tier,STEM,South,1,1,2,Large,Handshake,8,40,2,1,,
3.21,Mid-tier,Arts,West,0,1,2,Small,Indeed,9,15,0,0,,
3.55,Mid-tier,Business,Midwest,0,2,1,Small,Indeed,2,30,2,1,,
3.07,Mid-tier,Healthcare,Midwest,0,1,3,Large,Indeed,12,92,0,0,,
3.26,Lower-tier,Business,West,2,1,3,Medium,LinkedIn,3,17,0,0,,
3.19,Mid-tier,Business,Northeast,0,0,4,Small,Indeed,8,140,0,0,,
3.23,Top-tier,Business,Midwest,1,2,2,Medium,Indeed,2,43,2,2,,
3.32,Lower-tier,Business,Northeast,0,4,3,Large,Handshake,9,85,3,1,,
2.31,Lower-tier,STEM,South,1,3,0,Large,Handshake,11,82,9,1,,
2.8,Mid-tier,Arts,South,0,1,4,Small,Handshake,7,52,2,2,,
3.27,Mid-tier,STEM,Northeast,1,5,4,Large,Indeed,5,76,0,0,,
3.73,Mid-tier,Business,Midwest,1,0,4,Small,Indeed,3,65,0,0,,
3.03,Mid-tier,STEM,West,1,3,0,Small,LinkedIn,7,24,2,2,,
3.23,Lower-tier,STEM,Midwest,1,2,2,Medium,Handshake,2,5,2,1,,
2.59,Lower-tier,Humanities,South,2,2,4,Medium,LinkedIn,4,32,2,0,,
4.0,Top-tier,Healthcare,Northeast,1,2,3,Small,Handshake,12,66,4,3,,
3.75,Lower-tier,STEM,West,1,1,2,Large,Indeed,8,69,0,0,,
3.97,Mid-tier,Humanities,Northeast,0,2,1,Medium,Indeed,10,180,1,0,,
2.9,Top-tier,STEM,West,1,3,6,Small,LinkedIn,12,78,2,1,,
3.41,Lower-tier,Business,West,1,3,2,Medium,Handshake,2,19,2,1,,
3.32,Mid-tier,Business,Northeast,1,2,2,Small,Handshake,12,22,2,0,,
3.32,Mid-tier,Business,Midwest,1,2,2,Medium,LinkedIn,5,51,2,1,,
2.9,Top-tier,Business,West,1,2,3,Large,Handshake,2,5,2,1,,
3.07,Mid-tier,Humanities,South,0,3,7,Medium,Handshake,2,11,2,2,,
3.37,Top-tier,Business,West,1,0,1,Large,Indeed,12,224,10,10,,
3.15,Mid-tier,Arts,Midwest,0,3,1,Large,Indeed,11,119,1,0,,
3.53,Top-tier,Arts,Northeast,2,1,4,Large,LinkedIn,2,27,0,0,,
3.16,Top-tier,STEM,Midwest,1,0,1,Medium,Handshake,3,22,2,0,,
3.71,Lower-tier,STEM,South,1,5,3,Large,Indeed,11,196,3,0,,
3.07,Mid-tier,Business,Midwest,0,3,2,Large,LinkedIn,1,9,0,0,,
3.96,Lower-tier,STEM,Midwest,0,3,4,Large,LinkedIn,7,82,3,1,,
2.79,Mid-tier,Business,Northeast,1,2,4,Medium,LinkedIn,6,73,3,2,,
