GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Salary
2.81,Mid-tier,Healthcare,West,3,2,6,Medium,LinkedIn,1,9,2,2,59785.0
3.01,Mid-tier,STEM,Northeast,0,3,2,Medium,Handshake,7,19,2,1,69910.0
3.22,Lower-tier,STEM,West,2,1,1,Medium,Indeed,6,67,2,1,73669.0
3.59,Top-tier,STEM,Midwest,2,1,3,Small,LinkedIn,5,31,2,2,83426.0
2.58,Mid-tier,Humanities,Midwest,3,2,1,Medium,LinkedIn,6,28,2,1,65189.0
2.71,Mid-tier,Business,Midwest,1,3,2,Small,Handshake,4,14,2,2,87515.0
3.31,Mid-tier,Business,Midwest,2,1,2,Medium,LinkedIn,10,78,2,1,85695.0
3.73,Mid-tier,STEM,South,1,1,3,Small,Handshake,2,6,2,2,98499.0
3.63,Mid-tier,STEM,Northeast,4,1,0,Large,Handshake,10,93,4,3,93855.0
3.27,Mid-tier,Healthcare,South,0,3,5,Small,Handshake,5,28,2,1,58528.0
3.59,Top-tier,Healthcare,Northeast,4,1,2,Medium,LinkedIn,10,5,2,1,83653.0
2.7,Mid-tier,Humanities,Midwest,4,2,3,Large,Indeed,3,50,3,2,64481.0
3.2,Top-tier,STEM,Northeast,2,1,3,Large,Handshake,7,40,3,3,99845.0
3.33,Lower-tier,Healthcare,Midwest,0,4,1,Large,Handshake,12,72,3,1,57200.0
2.87,Mid-tier,Healthcare,Midwest,0,0,3,Small,Indeed,9,130,6,2,38957.0
2.8,Mid-tier,STEM,Northeast,2,3,2,Medium,Indeed,4,24,2,2,75671.0
2.65,Top-tier,Business,Midwest,1,0,5,Large,LinkedIn,5,45,3,2,86727.0
3.55,Lower-tier,Business,South,2,2,5,Medium,Handshake,2,10,2,1,73898.0
3.93,Mid-tier,Healthcare,Midwest,1,1,1,Medium,Handshake,7,15,2,1,52353.0
2.79,Mid-tier,Humanities,Midwest,1,3,4,Small,LinkedIn,3,34,2,1,72922.0
3.71,Mid-tier,Business,Midwest,2,2,3,Large,LinkedIn,3,5,2,2,94073.0
3.69,Top-tier,Business,Midwest,3,0,3,Small,LinkedIn,10,5,2,1,105504.0
3.5,Mid-tier,STEM,Midwest,3,2,3,Small,Handshake,11,29,2,1,78762.0
2.82,Mid-tier,Business,West,2,2,2,Large,Handshake,3,16,2,1,72312.0
3.74,Mid-tier,Business,West,0,2,2,Medium,LinkedIn,1,8,2,1,76674.0
3.1,Mid-tier,STEM,South,3,1,3,Large,LinkedIn,5,24,2,2,92885.0
3.22,Mid-tier,Healthcare,West,0,3,1,Medium,Handshake,12,28,2,2,53342.0
3.2,Top-tier,STEM,West,3,2,1,Large,LinkedIn,10,96,2,1,116960.0
2.72,Lower-tier,STEM,Northeast,4,3,3,Small,Handshake,5,11,2,2,76451.0
2.95,Lower-tier,Humanities,Midwest,2,0,1,Medium,Handshake,8,49,3,3,55739.0
2.9,Mid-tier,Arts,Northeast,2,3,4,Large,Handshake,12,44,2,2,72769.0
2.82,Top-tier,Business,West,1,1,2,Small,LinkedIn,2,12,2,1,95286.0
3.75,Lower-tier,Business,Northeast,1,1,3,Medium,Indeed,1,13,2,2,69711.0
3.26,Top-tier,STEM,Midwest,2,4,2,Small,LinkedIn,9,76,4,3,112441.0
3.37,Mid-tier,Business,Midwest,2,3,2,Large,LinkedIn,11,38,2,1,108938.0
2.85,Lower-tier,Humanities,Northeast,0,1,7,Large,Handshake,2,10,2,1,51532.0
3.03,Mid-tier,Business,Midwest,1,1,3,Medium,Handshake,9,9,2,2,74852.0
3.64,Top-tier,Business,West,2,2,2,Medium,LinkedIn,6,31,2,2,103330.0
3.22,Top-tier,Humanities,West,1,1,2,Small,Indeed,1,15,2,1,67665.0
3.38,Mid-tier,Business,Midwest,0,5,5,Small,Handshake,11,66,4,1,57592.0
3.32,Mid-tier,STEM,South,1,2,1,Large,Handshake,1,6,2,1,82515.0
2.86,Mid-tier,STEM,South,5,2,5,Medium,LinkedIn,4,16,2,1,93780.0
3.49,Lower-tier,Healthcare,Midwest,0,0,0,Large,Indeed,3,29,2,2,36208.0
3.05,Mid-tier,Humanities,Northeast,0,0,2,Small,Handshake,7,46,2,2,66117.0
2.68,Lower-tier,Business,Northeast,2,2,5,Large,Handshake,3,16,2,1,72730.0
3.58,Lower-tier,Business,South,0,3,5,Large,Indeed,2,25,2,1,63264.0
2.95,Mid-tier,Business,Northeast,2,3,1,Medium,LinkedIn,1,5,2,2,72857.0
3.69,Lower-tier,Healthcare,South,1,2,4,Large,LinkedIn,3,15,2,2,73243.0
2.95,Lower-tier,STEM,West,2,2,2,Large,Indeed,12,192,8,6,82063.0
3.17,Top-tier,Business,South,1,0,3,Large,Indeed,12,72,3,2,77168.0
3.34,Mid-tier,STEM,West,0,2,4,Large,Indeed,6,81,5,1,77726.0
2.0,Mid-tier,STEM,Northeast,0,2,2,Medium,Handshake,12,5,2,1,65809.0
3.24,Lower-tier,Business,Midwest,3,0,3,Medium,Handshake,5,25,2,2,84446.0
3.35,Lower-tier,Arts,Midwest,0,0,4,Medium,Handshake,11,75,2,1,49503.0
2.89,Lower-tier,Humanities,South,1,1,7,Large,Indeed,11,141,7,1,43714.0
3.41,Mid-tier,Business,Midwest,1,1,2,Large,LinkedIn,12,88,3,2,85462.0
3.53,Top-tier,Business,South,2,1,0,Small,Indeed,3,49,3,1,83791.0
2.85,Mid-tier,Arts,South,3,4,3,Medium,Handshake,5,29,2,2,70477.0
3.36,Mid-tier,STEM,South,2,1,5,Medium,LinkedIn,5,35,2,2,101750.0
4.0,Lower-tier,STEM,West,0,6,3,Large,Handshake,2,13,2,2,82635.0
2.92,Mid-tier,Humanities,South,0,2,6,Large,Handshake,10,5,2,1,61422.0
3.1,Lower-tier,STEM,Midwest,2,4,1,Medium,Handshake,4,14,2,2,97365.0
2.88,Mid-tier,Business,Midwest,1,3,5,Medium,Indeed,11,161,8,5,56669.0
3.38,Top-tier,Humanities,South,1,3,1,Large,LinkedIn,6,73,2,1,74362.0
3.67,Mid-tier,Humanities,Northeast,1,5,4,Small,Indeed,8,105,4,3,58432.0
3.15,Mid-tier,Humanities,Northeast,4,1,4,Small,LinkedIn,7,73,4,4,75123.0
3.82,Lower-tier,STEM,West,3,1,3,Small,Handshake,2,12,2,1,90979.0
3.78,Top-tier,STEM,South,0,1,1,Large,LinkedIn,10,95,4,4,92866.0
3.4,Mid-tier,STEM,South,0,1,3,Small,Handshake,1,7,2,2,69669.0
3.43,Lower-tier,Healthcare,South,1,4,4,Medium,Handshake,5,22,2,1,62590.0
2.58,Mid-tier,Healthcare,Northeast,1,1,3,Large,Indeed,9,118,6,6,35000.0
3.75,Lower-tier,Healthcare,West,2,2,3,Large,LinkedIn,5,25,2,2,59197.0
2.82,Lower-tier,STEM,Midwest,0,0,3,Medium,Handshake,3,6,2,2,78230.0
2.85,Mid-tier,Business,West,4,1,2,Large,LinkedIn,4,42,3,3,74241.0
2.42,Top-tier,Business,South,2,1,2,Large,Handshake,7,32,2,1,82342.0
3.37,Mid-tier,Healthcare,South,1,1,0,Medium,Handshake,3,19,2,2,46312.0
3.06,Mid-tier,Business,Northeast,0,3,1,Large,LinkedIn,10,111,3,1,86929.0
3.74,Lower-tier,Business,Northeast,0,6,7,Small,Handshake,8,37,2,1,75122.0
3.77,Top-tier,STEM,Midwest,1,0,2,Large,Handshake,4,25,2,1,81731.0
3.82,Top-tier,Business,Northeast,1,2,3,Large,Handshake,3,10,2,2,81458.0
3.67,Mid-tier,Business,Midwest,1,1,5,Large,LinkedIn,2,15,2,1,73324.0
4.0,Lower-tier,STEM,West,4,1,1,Small,Handshake,9,36,2,1,89332.0
3.64,Mid-tier,Business,West,1,3,3,Large,LinkedIn,11,102,5,3,75070.0
3.06,Top-tier,STEM,South,1,1,1,Small,LinkedIn,10,108,2,2,94277.0
3.8,Mid-tier,Business,West,4,1,2,Medium,LinkedIn,2,16,2,1,92900.0
3.38,Lower-tier,Humanities,Northeast,1,4,3,Small,Handshake,4,17,2,2,79559.0
2.69,Mid-tier,Business,Northeast,0,0,7,Large,LinkedIn,11,45,2,2,71020.0
2.75,Lower-tier,STEM,Northeast,1,6,2,Medium,LinkedIn,2,26,2,2,93815.0
3.31,Mid-tier,STEM,South,1,2,7,Medium,Handshake,2,5,2,2,65295.0
3.65,Lower-tier,Healthcare,Northeast,4,3,3,Small,LinkedIn,2,17,2,2,96283.0
4.0,Mid-tier,Business,Northeast,3,3,7,Large,LinkedIn,7,74,2,2,92914.0
3.01,Top-tier,Business,Northeast,0,1,2,Large,LinkedIn,11,128,4,3,70146.0
3.39,Top-tier,STEM,Northeast,0,0,2,Large,LinkedIn,12,106,3,1,97653.0
3.33,Lower-tier,Business,Midwest,2,0,1,Small,LinkedIn,2,23,2,2,80652.0
3.06,Mid-tier,STEM,Northeast,0,5,4,Medium,Indeed,2,25,2,2,61071.0
3.44,Lower-tier,Healthcare,West,0,2,3,Small,LinkedIn,11,91,5,3,66711.0
3.54,Mid-tier,Business,Midwest,1,0,1,Small,LinkedIn,8,80,5,5,74126.0
3.29,Mid-tier,STEM,South,2,2,1,Large,Indeed,5,87,3,2,74044.0
3.67,Top-tier,Healthcare,Northeast,0,1,2,Large,LinkedIn,8,92,4,4,86823.0
3.92,Lower-tier,Business,South,0,2,5,Large,LinkedIn,5,52,2,1,76946.0
3.5,Lower-tier,STEM,West,2,2,3,Small,LinkedIn,6,67,2,1,90474.0
3.19,Mid-tier,STEM,South,2,2,3,Large,Indeed,8,114,6,2,73618.0
3.09,Mid-tier,Humanities,South,2,1,5,Medium,LinkedIn,9,87,3,2,70809.0
3.49,Mid-tier,Business,South,1,1,1,Medium,Indeed,9,156,8,8,74576.0
3.24,Lower-tier,Business,West,2,3,1,Medium,Indeed,1,10,2,2,71725.0
2.64,Top-tier,STEM,South,2,1,3,Small,LinkedIn,7,29,2,1,108310.0
3.55,Mid-tier,STEM,South,2,3,3,Large,LinkedIn,2,7,2,1,105594.0
3.66,Mid-tier,Healthcare,South,0,3,4,Large,LinkedIn,10,106,2,2,72127.0
2.73,Lower-tier,Humanities,Midwest,3,1,4,Medium,LinkedIn,12,48,2,2,78016.0
3.48,Mid-tier,Business,West,0,2,0,Medium,Handshake,2,16,2,1,82571.0
3.16,Top-tier,Healthcare,Northeast,3,1,1,Small,Handshake,3,5,2,1,83398.0
3.42,Top-tier,Healthcare,Northeast,2,2,4,Medium,LinkedIn,2,16,2,2,84003.0
2.49,Mid-tier,Humanities,Midwest,0,4,0,Large,Indeed,2,23,2,1,50261.0
2.79,Mid-tier,STEM,South,2,5,2,Medium,Handshake,8,82,4,2,81630.0
2.95,Lower-tier,Business,West,0,7,1,Large,Handshake,10,35,2,1,62804.0
3.03,Mid-tier,STEM,Northeast,2,2,2,Medium,Handshake,3,5,2,1,82245.0
3.33,Lower-tier,STEM,Northeast,1,3,2,Large,Indeed,9,96,4,1,80340.0
4.0,Mid-tier,Healthcare,South,3,3,4,Large,LinkedIn,11,58,2,1,86819.0
4.0,Mid-tier,Business,Midwest,2,3,2,Small,LinkedIn,8,81,5,1,87425.0
3.2,Mid-tier,Arts,Northeast,3,2,4,Small,Handshake,6,5,2,2,69118.0
3.04,Lower-tier,Business,West,1,1,4,Large,LinkedIn,8,65,3,1,88150.0
3.41,Top-tier,Business,West,1,3,1,Medium,Handshake,12,60,2,2,85015.0
4.0,Top-tier,Humanities,Midwest,0,6,0,Large,LinkedIn,12,146,6,5,75527.0
3.33,Mid-tier,STEM,South,2,0,2,Large,LinkedIn,11,111,3,1,94033.0
2.95,Top-tier,Humanities,Midwest,0,2,5,Medium,Handshake,10,36,2,2,57392.0
2.78,Lower-tier,STEM,Midwest,0,5,0,Medium,LinkedIn,9,54,2,2,64864.0
3.19,Top-tier,Humanities,West,2,3,2,Large,LinkedIn,9,51,2,1,77727.0
3.88,Mid-tier,STEM,Midwest,1,3,3,Large,Indeed,9,106,6,6,84516.0
3.44,Mid-tier,Business,Northeast,2,2,3,Medium,LinkedIn,4,59,2,2,85934.0
3.56,Mid-tier,STEM,South,0,2,2,Small,Indeed,6,73,4,4,71697.0
3.05,Mid-tier,STEM,Midwest,0,3,2,Small,Handshake,3,14,2,2,86723.0
3.97,Mid-tier,Healthcare,Midwest,1,2,3,Medium,Handshake,3,16,2,2,51862.0
2.83,Top-tier,Business,South,5,3,3,Large,LinkedIn,2,13,2,1,100623.0
3.52,Top-tier,STEM,Northeast,3,2,0,Medium,LinkedIn,11,100,4,4,112183.0
2.8,Lower-tier,Business,West,2,4,1,Large,Handshake,7,18,2,2,67690.0
3.16,Top-tier,STEM,Northeast,2,2,3,Small,LinkedIn,2,16,2,1,101005.0
3.06,Lower-tier,Business,Midwest,1,1,4,Medium,Handshake,5,39,2,1,77095.0
3.56,Mid-tier,Business,South,3,0,2,Small,LinkedIn,5,54,3,3,83824.0
2.95,Mid-tier,Business,Midwest,1,3,4,Medium,LinkedIn,12,102,3,1,86142.0
3.29,Mid-tier,STEM,West,1,0,3,Medium,LinkedIn,9,91,4,2,88798.0
2.87,Lower-tier,STEM,Northeast,0,3,2,Small,Handshake,9,46,2,1,72237.0
3.43,Mid-tier,Humanities,West,0,4,3,Medium,LinkedIn,7,39,2,2,67105.0
3.16,Lower-tier,STEM,South,2,1,6,Small,Handshake,12,96,4,4,89211.0
2.87,Lower-tier,Business,Northeast,1,2,3,Medium,Indeed,5,49,3,1,56041.0
3.9,Lower-tier,Humanities,Northeast,1,1,2,Medium,Handshake,6,35,2,2,56690.0
3.48,Top-tier,Business,Midwest,2,3,4,Large,Handshake,1,5,2,2,77362.0
3.58,Top-tier,STEM,West,2,0,6,Medium,LinkedIn,7,117,2,1,94732.0
4.0,Mid-tier,Humanities,West,4,3,2,Large,LinkedIn,11,51,2,1,78512.0
4.0,Top-tier,Humanities,South,2,0,4,Large,Handshake,9,33,2,1,84923.0
3.58,Top-tier,Business,Midwest,1,1,4,Medium,LinkedIn,7,107,6,1,88824.0
3.17,Mid-tier,Humanities,Northeast,3,0,1,Medium,LinkedIn,6,36,2,1,64083.0
3.44,Lower-tier,Business,West,3,2,2,Medium,LinkedIn,7,45,2,1,75550.0
3.51,Mid-tier,STEM,Midwest,1,0,3,Large,LinkedIn,7,71,4,2,94617.0
3.38,Lower-tier,Business,South,2,0,5,Large,Handshake,8,54,2,1,72382.0
3.18,Mid-tier,Business,West,1,2,7,Large,Handshake,11,93,5,1,78192.0
2.66,Top-tier,STEM,Northeast,0,3,1,Medium,Indeed,8,133,4,2,73360.0
3.55,Top-tier,Business,Midwest,2,1,1,Small,LinkedIn,2,13,2,2,93398.0
3.22,Top-tier,Business,Northeast,2,2,3,Medium,LinkedIn,2,12,2,2,91005.0
3.43,Lower-tier,STEM,West,2,2,2,Medium,Indeed,7,115,5,5,80426.0
3.44,Mid-tier,STEM,Midwest,0,1,5,Medium,LinkedIn,7,47,3,3,84094.0
3.57,Top-tier,STEM,Northeast,1,1,2,Medium,LinkedIn,9,60,3,2,99345.0
3.76,Mid-tier,Business,West,3,2,5,Small,LinkedIn,3,38,2,2,90628.0
3.47,Lower-tier,Business,West,1,2,6,Medium,Indeed,4,78,4,2,59743.0
3.47,Mid-tier,STEM,South,0,4,2,Medium,Indeed,5,72,4,4,82214.0
2.93,Lower-tier,STEM,West,1,3,6,Medium,Indeed,11,110,6,6,74969.0
3.49,Mid-tier,STEM,Northeast,3,1,2,Medium,Handshake,8,38,2,2,96163.0
2.87,Top-tier,STEM,West,2,3,3,Large,LinkedIn,12,96,3,2,107819.0
3.02,Mid-tier,STEM,Northeast,3,3,3,Large,Handshake,3,19,2,2,92344.0
3.42,Mid-tier,STEM,West,0,2,7,Large,LinkedIn,11,58,3,2,88620.0
3.08,Mid-tier,Humanities,South,0,2,5,Small,Handshake,10,73,4,3,47698.0
3.58,Top-tier,STEM,Midwest,1,1,3,Small,LinkedIn,12,136,3,3,97701.0
3.43,Lower-tier,Business,West,1,3,8,Large,Handshake,9,15,2,2,58076.0
3.01,Mid-tier,Business,South,3,4,4,Medium,LinkedIn,11,80,2,2,86101.0
3.09,Mid-tier,Business,Midwest,2,1,2,Small,LinkedIn,7,94,4,4,89137.0
3.33,Lower-tier,Business,South,2,2,2,Small,Handshake,1,6,2,2,78788.0
3.29,Mid-tier,Business,South,0,0,0,Small,Handshake,5,26,2,2,64204.0
3.14,Top-tier,STEM,Northeast,3,4,4,Large,Handshake,8,58,3,1,88822.0
4.0,Top-tier,Healthcare,Midwest,2,3,6,Large,Handshake,9,9,2,1,79745.0
3.23,Lower-tier,Healthcare,Midwest,0,3,3,Medium,LinkedIn,11,128,6,4,69439.0
3.33,Mid-tier,STEM,Northeast,0,3,2,Large,Handshake,5,14,2,1,60966.0
2.83,Lower-tier,Business,Midwest,1,1,3,Large,Handshake,4,31,2,1,69626.0
3.25,Lower-tier,Humanities,West,0,2,5,Medium,LinkedIn,9,93,5,5,67217.0
2.91,Top-tier,Humanities,South,3,1,5,Medium,Handshake,2,5,2,1,69478.0
3.48,Lower-tier,Business,West,2,1,4,Large,LinkedIn,3,26,2,1,103850.0
3.71,Lower-tier,Healthcare,Northeast,1,2,1,Large,LinkedIn,6,46,2,2,61360.0
3.46,Mid-tier,Humanities,Northeast,1,1,6,Large,LinkedIn,4,26,2,2,73911.0
2.82,Mid-tier,Humanities,Northeast,1,2,1,Small,Handshake,8,62,2,2,52234.0
3.14,Mid-tier,Business,Northeast,1,2,2,Large,Handshake,9,60,2,2,74547.0
2.39,Top-tier,Business,South,0,3,4,Large,Handshake,12,60,4,3,80845.0
