,faltantes,porcentaje
Offer_Salary,65771,65.77
Accepted_Offer,65771,65.77
Time_to_Offer_Days,65771,65.77
Role_Relevance,65771,65.77
Company_Size_Offered,65771,65.77
Major_Category,0,0.0
Region,0,0.0
School_Size,0,0.0
University_Rating,0,0.0
Student_ID,0,0.0
GPA,0,0.0
Extra_Curricular_Activities,0,0.0
Prior_Internships,0,0.0
First_Round_Interviews,0,0.0
Applications_Submitted,0,0.0
Months_Searching,0,0.0
Primary_Search_Platform,0,0.0
Networking_Events_Attended,0,0.0
Offer_Received,0,0.0
Second_Round_Interviews,0,0.0
Interview_Conversion_Rate,0,0.0
